resume_id,Category,Skills,Education
13130984,accountant accountant,budget forecasting expertise analytical reasoning account reconciliation expert strong organizational skills,january 2014 masters business administration troy university city state business administration december 2009 bba accounting management columbus state university city state accounting management skills account reconciliations accounting accountant accounting systems accounting system accounts payable adobe acrobat agency balance banking budget analysis budget cash handling clerical contracts cost accounting database fax fds finance financial financial analysis financial management financial operations financial reports financial statements fiscal management forecasting functional fund accounting funds general ledger government grants innovation maintains inventory inventory leadership skills macintosh mainframe managerial managerial accounting access microsoft access microsoft excel excel microsoft office software office outlook powerpoint publisher windows word monitors newsletter payroll ibmpc copier policies processes profit program development proposals quickbooks reconciling record keeping repairs reporting scanner technical support phone time management type written annual reports yearend
13294301,accountant accountant,microsoft office account reconciliation processes financial statements interpersonal activelistening critical skills proficient polish language,bachelor science accounting finance 032020 oakland university city
13491889,accountant accountant,full accounting cycle account reconciliation general ledger accounting financial statement analysis budget planning cash management accounts receivable accounts payable inventory purchases fixed assets,certification 2016 accounting training center city state united states ivu suri software mba accounting finance 2014 university phoenix city state united states continuing education courses focusing major changes accounting standards certification 2011 hr block city state united states tax course bba administration 2010 university phoenix city state united states minor management computer skills
13701259,accountant senior accountant,microsoft wordexcel great plains dynamics bi360 businessintelligence tool keane,mercy college city state bachelor science accounting accounting skills
14055988,accountant accountant iii,grant management,prairie view university 2003 bba accounting accounting prairie view tx member phi beta lambda future business leaders america university north texas 2013 bba finance finance dallas tx university north texas 2015 mba strategic management strategic management accomplishments
14126433,accountant supervisor accountant,account reconciliations accounting accounts payable accounts receivables accruals balance sheet balance bank reconciliations billing bookkeeping book budgeting budget business objects charts oral communication cpa databases fluent english senior management finance financial financial analysis financial reports financial reporting financial statements fixed assets forecasting general ledger general ledger accounts government graphs harvard graphics jde lotus notes access ms access excel microsoft office office powerpoint powerpoint presentations windows 95 monthend closing payroll peoplesoft soft presentations quickbooks quicken reporting sox compliance sarbanes oxley spanish tax television variance analysis excellent written,master business administration business development strategy management 2008 pepperdine university graziadio school business management city state business development strategy management bachelor science finance spanish 2004 university orleans city state finance spanish languages fluent english spanish proficiency decreased due moderate skills account reconciliations accounting accounts payable accounts receivables accruals balance sheet balance bank reconciliations billing bookkeeping book budgeting budget business objects charts oral communication cpa databases fluent english senior management finance financial financial analysis financial reports financial reporting financial statements fixed assets forecasting general ledger general ledger accounts government graphs harvard graphics jde lotus notes access ms access excel microsoft office office powerpoint powerpoint presentations windows 95 monthend closing payroll peoplesoft soft presentations quickbooks quicken reporting sox compliance sarbanes oxley spanish tax television variance analysis excellent written
14224370,accountant accountant,quick learner strong management skills analytical skills ability managing tasks technical skills accounting software peoplesoft quickbooks tax software drake ultra tax turbotax operating systems xp windows professional windows 7 windows 8 microsoft office word advanced ms excel skills ms access powerpoint outlook pdf adobe reader adobe acrobat x,2005 bachelors degree accounting university houston city state accounting laude graduating honors skills accounting accountant accounting software accounts receivable adobe acrobat adobe analytical skills bank reconciliations bookkeeping excellent communication clients detailoriented filing financial statements prepare financial statements general ledger management skills managing ms access mct ms excel microsoft office outlook powerpoint windows 7 windows 8 windows word operating systems payroll pdf peoplesoft presentation skills quick learner quickbooks sales tax taxes prepare tax tax returns phone
14449423,accountant staff accountant,research support analytical skills,diploma accounting april 2004 kings college city state accounting bachelor science computer science 1995 south carolina state university computer science affiliations member institute professionals taxation ipt 2006 present nc notary 2000 present skills accounting billing programming closing consultant consulting credit client clients customer data entry database debit delivery documentation editing senior management fetch filing financial forms full life cycle funds general ledger accounts legal managing excel office windows microsoft word monthend closing oracle oracle database designer 2000 developer os2 processing payments policies processes proposals quality assurance read real estate reporting requirement sales scheduling scripts solomon sql system integration tables tax accounting tax tax returns technical documentation telephone upgrades utilities
14470533,accountant accountant,training fairbanks ak diploma bookkeeping office administration worland high school city state office specialist diplomaemphasis bookkeeping office administration worland high school worland wy high school diploma certifications cpa skills automated payroll cpa excel general ledger office management outlook payroll payroll processing powerpoint accounting bookkeeping office manager accounts bookkeeper cash financial statements process payroll reconciliations tax returns balance sheet bank reconciliations clients gl job costing journal quickbooks business management clerical training account reconciliations accountant accounts account as400 audit balance sheets contracts inventory invoice office administration operations peachtree peachtree accounting progress reconciling restaurant manager scheduling secretary state tax timberline timberline software typing word,aa business managementaccounting 2016 treasure valley community college city state treasure valley community college caldwell id current gpa 385 currently attendinggraduation expected 2016 aa business managementaccounting clerical skills training fairbanks ak diploma bookkeeping office administration worland high school city state office specialist diplomaemphasis bookkeeping office administration worland high school worland wy high school diploma certifications cpa skills automated payroll cpa excel general ledger office management outlook payroll payroll processing powerpoint accounting bookkeeping office manager accounts bookkeeper cash financial statements process payroll reconciliations tax returns balance sheet bank reconciliations clients gl job costing journal quickbooks business management clerical training account reconciliations accountant accounts account as400 audit balance sheets contracts inventory invoice office administration operations peachtree peachtree accounting progress reconciling restaurant manager scheduling secretary state tax timberline timberline software typing word
14491649,accountant accountant,account reconciliations accounting accruals 400 balance sheet balance sheets budgets budget controller corporate finance erp finance financial financial reports financial reporting financial statements fixed assets forms general ledger image inventory jd edwards ledger director macros materials microsoft access microsoft excel office microsoft outlook microsoft powerpoint microsoft word month close operations management pivot tables progress quickbooks reporting requirement research sage sales tax yearend,2008 keller graduate school management city state master business administration accounting gpa gpa 367 accounting gpa 367 2006 devry university city state bachelor science technical management accounting gpa gpa 366 laude deans list technical management accounting gpa 366 laude deans list skills account reconciliations accounting accruals 400 balance sheet balance sheets budgets budget controller corporate finance erp finance financial financial reports financial reporting financial statements fixed assets forms general ledger image inventory jd edwards ledger director macros materials microsoft access microsoft excel office microsoft outlook microsoft powerpoint microsoft word month close operations management pivot tables progress quickbooks reporting requirement research sage sales tax yearend
14496667,accountant accountant,retain confidentiality paperwork information flexible team player quick learner interested technologies meet deadlines handle stressful situations professional manner microsoft office word excel access outlook knowledge state accounting systemmmars system soft system 7 client tracking system excellent communicator written verbal office experience ability create reports analyze data manipulate data,bachelor science business management accounting psychology 16 2015 bridgewater state university city state
15289348,accountant senior accountant,superior research skills effective time management thrives pressure independent worker flexible valued team player general ledger accounting public private accounting general tax accounting,mba business administration accounting finance 2001 university north florida city state usa
15363277,accountant accountant,advertising architect asset management auditing budgeting budgets budget business case closing cognos client customer service financials financial financial analysis financial modeling leadership leadership skills marketing excel microsoft office negotiations office management oracle financials peoplesoft executive presentations processes coding progress real estate reporting strategic strategic marketing telecom,university phoenix masters business administration city state hampton university bachelor science degree finance city state finance skills
15592167,accountant financial accountant,communication skills taking initiative communication team members interacting diverse cultural backgrounds building excellent client peer relationships high efficiency pressuring solve problem making contribution business organization high attention details ensuring accuracy completeness particulars executing corrections errors occur performing reviews documents,2010 master business accounting monash university city state australia continuing education courses focusing major changes accounting standards legal concepts tax analysis seminar 2009 bachelor commerce accounting finance victoria university city state australia coursework covered management accounting financial accounting auditing governance ethics professional affiliations cpa australia languages english chinese mandarin skills
15821633,accountant accountant,accounting administrative agency audit report backup bank reconciliations basic billing budgets cash register cashier catalog clerical conferences contracts client data analysis database decisionmaking direction documentation financial financial statements funds legal money policies processes quickbooks video,bachelor business administration accounting fox school business temple university city state accounting professional affiliations assisted auditing emergency medical services ems found 60 philadelphia fire department pfd ambulances widely accepted standard arriving scene medical emergency minutes ambulance crews overworked demand ems units excessive bronze knighton award national association local government auditors nalga submissions reviewed school district philadelphias charter school office noted 51 63 81 charter schools files incomplete missing items charter agreement articles incorporation proof insurance leaving vulnerable fraud recognized excellence association certified fraud examiners acfe skills accounting administrative agency audit report backup bank reconciliations basic billing budgets cash register cashier catalog clerical conferences contracts client data analysis database decisionmaking direction documentation financial financial statements funds legal money policies processes quickbooks video
15906625,accountant accountant,15 years experience accounting bookkeeping services financial statements bank reconciliations general ledger expertise flexible team player,bachelor accounting 2002 northwestern state university louisiana city state
16237710,accountant accountant,invoice coding familiarity,select bachelor arts business studies 2014 university greenwich city kenya
17306905,accountant senior accountant,power user microsoft excel epicor netsuite quickbooks hyperion great plains sage intacct accounting accountant auditing trial balance balance sheet monthly bank reconciliations banking benefits bookkeeping budgets budget community health compliance audits contract management contracts cpa credit crm client clients database database management finance financial financial audits financial planning analysis financial statement preparation financial statements prepare financial statements funds general ledger gl great plains home health hospice human resource hyperion insurance inventory leadership microsoft excel excel payroll process payroll procurement proposal quickbooks relational database reporting revenue recognition sage sales tax taxes tax returns therapy validation,bachelor business administration accounting 122014 valdosta state university city
17407184,accountant accountant,accounting billing change management contracts client relations database delivery eclipse finance financial reporting financial statements front office hiring instructor instructional design leadership training logistics managing microsoft office suite office analysis payables peoplesoft hrms peoplesoft personnel program management project management project plans teaching training materials training design development training material training programs upgrade view affiliations project management institute member association talent development formerly astd,master science education 2003 california state univeristy hayward city state gpa gpa 40 education option online teaching learning creating effective collaborative learning experiences gpa 40 bachelor science accounting 1993 university maryland college park city state accounting bachelor science business administration 1983 college arts science technology city jamaica business administration publications california virtual campus issue gender online teaching learning april 2003 managing conflict online classroom march 2003 teacher focus newsletter collaborative learning benefits challenges make effective march 2003 skills accounting billing change management contracts client relations database delivery eclipse finance financial reporting financial statements front office hiring instructor instructional design leadership training logistics managing microsoft office suite office analysis payables peoplesoft hrms peoplesoft personnel program management project management project plans teaching training materials training design development training material training programs upgrade view affiliations project management institute member association talent development formerly astd
17556527,accountant accountant,accounting accounting software accounts payables accounts payable accounts receivables accrual administrative administrative support trial balance balance balance sheet bank reconciliation bank reconciliation bookkeeping book driving license cash management closing computer peripherals credit clients data entry email english erp finance financials financial fixed assets funds general ledger hindi insurance internet applications invoicing languages law legal letters managing excel ms office applications office outlook powerpoint word myob negotiating payroll policies purchasing quickbooks sales sales analysis secretarial sound strategy supervision typing speed xpert,mcom master commerce university kerala india bcom bachelor commerce mahatma gandhi university state india certifications personal profile nationality indian driving license uae visa status husbands sponsorship languages english hindi malayalam availability immediate skills accounting accounting software accounts payables accounts payable accounts receivables accrual administrative administrative support trial balance balance balance sheet bank reconciliation bank reconciliation bookkeeping book driving license cash management closing computer peripherals credit clients data entry email english erp finance financials financial fixed assets funds general ledger hindi insurance internet applications invoicing languages law legal letters managing excel ms office applications office outlook powerpoint word myob negotiating payroll policies purchasing quickbooks sales sales analysis secretarial sound strategy supervision typing speed xpert
18132924,accountant accountant,analytical reasoning budget forecasting expertise account reconciliation expert financial planner,
18365791,accountant accountant,accounts receivable professional,2009 bachelor science accounting kaplan university city state accounting
18569929,accountant payroll accountant,accounting accounts payable accounts receivable accruals acquisitions billing closing consulting contracts controller credit customer support financials financial statements fixed assets general ledger human resource insurance internet explorer jd edwards job costing kronos lotus marketing mas90 excel outlook express windows word netscape payroll personnel quickbooks,master accounting financial management 2014 keller graduate school management city state
18635654,accountant general accountant,accounting accountant arabic balance sheet bank reconciliations resolve customer complaints customer service databases delivery,2010 trained accountant walid hamdy hashem office account solution jan alexandria university personal information full hassan aly aboulela marital status single military status exempted languages arabic mother tongue written spoken english skills accounting accountant arabic balance sheet bank reconciliations resolve customer complaints customer service databases delivery
18669563,accountant project accountant,accounting accountant administrative army agency backup book budget business administration cash flow contracts dc documentation filing financial gl home office ims international business materials access excel microsoft office office powerpoint word procurement purchasing receiving record keeping transportation type workshops,1 2016 virginia international university masters business administration international business expected spring
19446337,accountant senior accountant,general ledger accounting account reconciliation expert flexible team player strong communication skills,ball state university 2012 master science accounting city state united states
19545827,accountant accountant,accounting sales inventory payroll accounting reconciliations bookkeeper audits operations assembly closings contracts customer service direct sales fixed assets food safety government contracts logistics maintenance million quality assurance receptionist retail sales sales shipping usda accounts payable solutions staffing cash clerk merchandising ordering automated payroll payroll processing software training training accountant accounts accounts receivable credit billing csi excel ms excel networking sales basis cash management forecasting gl telephone adjustments audit balance sheet budgeting monthly sales sales tax annuities cpa life insurance procedure writing project management public relations team building administrative manager entrees entres hr microsoft office ms office purchase orders,master arts christian education dallas theological seminary city state master arts christian education dallas theological
20082776,accountant senior accountant,attention detail goal oriented accounts payable receivable manager versatile accounting software experience lotus quick books sage peachtree adobe ms office payroll purchasing 12 years experience performing journal entry preparationposting financial statement analysis bank reconciliations full cycle month yearend close problem solving profit loss regulatory filings tax analysis compliance,bachelor science accounting 2010 colorado technical university city state usa
20253563,accountant accountant,resultsoriented resultsoriented operations management clientfocused excel areas expertise proficiency area,associate degree accounting national education center city state accounting bachelor science degree accounting university kerala india accounting skills accounting accounting manager accounting system accounts payable accounts receivable auditing bank reconciliations cash receipts documentation email financial mail payables personnel processes maintain files spreadsheet phone treasury written yearend
20345168,accountant staff accountant,flexible team player,bachelor science business management arizona state university city state usa skills microsoft office word excel power point outlook abila mip fund accounting software quickbooks quickbooks pro quicken adp paychex payroll experts quickbooks payroll systems
20393721,accountant accountant,quickbooks sage lacerte intuit proseries wellrounded applications functions microsoft suite word advanced excel formulas vlookups pivot tables data analysis management access intermediate outlook advanced power pivot powerpoint intermediate calbench fasb gaap standards accounting standards codification sarbanesoxley sox sections generally accepted auditing standards gaassas experience accountant january 2016 current company city state,master science taxation liu city state taxation core focus tax accounting january 2018 present relevant coursework insurance qualified employee benefit employee benefit retirement planning advanced corporate taxation tax research bachelor science accounting hunter college city state accounting core focus financial accounting bachelors science accounting principles computer information systems microsoft office suites accounting applications microcomputers quickbooks cost accounting introduction business intermediate accounting intermediate accounting managerial accounting advanced accounting auditing corporate finance business organization microeconomics macroeconomics economic statistics economic development federal income taxation corporate taxation business law activitiescertificates accounting society hunter college internal revenue service vitatce certificate 2015 volunteer tutor accounting skills administrative duties advertising business operations cash receipts copying documents corporate finance cost accounting data analysis management filing financial accounting financial statements preparation financial statements financial statement analysis forecasting sorting mail payroll processing pivot tables quickbooks sales sarbanesoxley sas tax accounting tax research tax returns
20624984,accountant accountant,account reconciliations accounting accounts payable accounts receivable balance sheet bank reconciliation banking billing book client edit finance financials financial reports preparing financial reports focus functional general ledger gl inventory control process invoices invoice processing invoicing mba mail office developer profit loss statement coding reporting researching,mba finance bcommgt hons technical qualifications module diploma computer application computer application personal information date sincerely place smruti rekha singh additional information
21031285,accountant accountant,account reconciliation accounting accountant accounting system budget business objects closing contracts financial financial analysis financial controls financial operations financial reports financial statements gl grants inventory invoicing ledger macros access excel microsoft office office outlook powerpoint word monitors operating systems peoplesoft policies processes procurement reporting research sarbanesoxley training materials view,2011
21338490,accountant summary,account reconciliation accounting general accounting accounting software accounts payables accounts receivables arabic balance sheet bank reconciliations banking billing bookkeeping budgeting budgets budget closing strong communication skills controller client clients documentation english equity finance financial financial analysis analyze financial statements financial statements prepare financial statements fixed assets forecasting general ledger gl inventory investments ledger market access excel outlook powerpoint ms word monitors organizational payables payroll personnel problem solving processes profit profit loss account public accounting express quickbooks reporting sales supervision swedish tax tax returns yearend,anticipate degree accounting summer 2016 master accountancy city state usa gpa gpa 348
21763056,accountant accountant,account reconciliation accounting accounts payable accruals accrual balance sheet balance balance sheets bank reconciliation benefits billing budgeting cobol computer programming corporate accounting credit dialysis documentation senior management expense reports finance financial financial reports financial statements fixed assets general ledger insurance letters access excel money powerpoint word monthend closing month close primary processes profit loss real estate reporting sales settlements tax taxes treasury yearend,master degree accounting gujarat university india accounting computer programming cobol language triton college river grove 1 skills account reconciliation accounting accounts payable accruals accrual balance sheet balance balance sheets bank reconciliation benefits billing budgeting cobol computer programming corporate accounting credit dialysis documentation senior management expense reports finance financial financial reports financial statements fixed assets general ledger insurance letters access excel money powerpoint word monthend closing month close primary processes profit loss real estate reporting sales settlements tax taxes treasury yearend
21794875,accountant accountant,,masters accounting university florida city state bachelor business administration florida international university city state associate arts liberal arts miami dade college city state usa certifications
21853199,accountant staff accountant,analytical reasoning compliance testing knowledge effective time management public private accounting,bachelor business administration accounting kent state university city state accounting graduated summa laude 384 yearly continuing professional education courses activities honors ohio society cpas beta alpha psi golden key international honour society beta gamma sigma skills accounting accounting systems accounts payable accounts receivable administrative billing closing client clients documentation financial financial reports preparation financial reports preparation financial statements fixed assets managing monthend closing policies maintain records reporting research sales tax taxes tax returns annual reports yearend
22465498,accountant assistant accountant,financial management financial performance assessment financial planning accounting complianceauditingassurance cash management budgeting financial reporting cash flow statements business consultantadvisor business management,2008 zambia accountacy business tuition centre acca part qualified 2001 diploma accountancy national institutes public administration nipa accountancy 1995 grade 12 school certificate kamwala secondary school 1990 chingwele primary school activities honors member association chartered certified accountants acca skills acca accounting accountant accounting system administrative auditing reconciling bank statements banking benefits budgeting
22925443,accountant accountant helper,budgeting,bachelor arts accounting 5 2014 ashford university city state usa
23139819,accountant accountant,accounting accounts payable adp payroll audit reports balance balance sheet bank reconciliations bank reconciliation billings budgeting budgets budget business development business plan development cash management coaching consultant contracts cost accounting cost control credit clients databases database documentation finance financial financial reports financial statements forecasting hiring human resources insurance managing managerial accounting microsoft office enterprise networking oracle payroll peachtree problem solving processes proposal purchasing quality quickbooks reporting research sales scheduling strategic treasury trend underwriting monthly variance analysis visual basic,022004 master business administration accountancy national university city state accountancy 121999 bachelor science management university nevada city state management 051997 associate science business administration parkland college city state business administration skills accounting accounts payable adp payroll audit reports balance balance sheet bank reconciliations bank reconciliation billings budgeting budgets budget business development business plan development cash management coaching consultant contracts cost accounting cost control credit clients databases database documentation finance financial financial reports financial statements forecasting hiring human resources insurance managing managerial accounting microsoft office enterprise networking oracle payroll peachtree problem solving processes proposal purchasing quality quickbooks reporting research sales scheduling strategic treasury trend underwriting monthly variance analysis visual basic
23246831,accountant billing accountant,account management accounts receivables administrative functions administrative support billing billings billing systems clarify hardware consolidations contracts credit client customer satisfaction executive management filing invoicing marketing works organizational skills personnel problem solving processes procurement maintain files maintain documentation research sales phone type,bachelor degree business administration belize america business administration additional information
23387174,accountant general accountant,managerial aptitude knowledge income tax procedures fiscal budgeting knowledge complex problem solving strong communication skills knowledge erp enterprise resource planning software ethical approach finance strong communication skills,bachelor accounting 1996 university skills accounting accounting software accruals accrual balance sheet bank reconciliations monthly bank reconciliations budgeting budget cash flow closing conversion erp filling finance financials financial financial audit financial statements preparing financial statements fixed assets forecasting general ledger great plains inventory ledger director managing access excel office ms office outlook power point word monthend closing month closing oracle payables payroll profit quick books requirement sales supply inventory tax returns valuation variance analysis yearend
23416654,accountant contract accountant,advanced excel skills,university north alabama 2004 bba accounting finance city state gpa tva investment challenge alpha theta collegiate honor society delta delta national honor society business administration graduated honors laud gpa 37
23438112,accountant senior accountant,strong communication skills erp enterprise resource planning software certified public accountant cpa quickbooks expert superior attention detail account reconciliation specialist ms office suite,master accounting financial management 2012 keller graduate school management devry university city state gpa gpa 391 gpa 391 master business administration 1 2011 bachelor science technical management accounting 1 2010 keller graduate school management devry university city state gpa gpa 396 magna laude gpa 396 technical management magna laude accounting devry university city state gpa gpa 379 gpa 379 skills
23513618,accountant accountant,work history 012014 current company city state,master business administration accounting 1 2013 lewis university city state gpa laude accounting laude
23636277,accountant accountant,accounting accounts payable accounts payable accounts receivable acquisitions adobe approach auditing trial balance balance balance sheet balance sheets bank reconciliation bookkeeping business communication business development business law business management cash management charts closing corporate accounting cost accounting costing certified public accountant cpa client clients customer relations databases dec drafting due diligence economics equity expense reports filing finance financial financial accounting financial reporting financial statements focus forex funds general ledger government information technology intellectual property internal audit interpretation lacerte team leader teambuilding ledger law legal mergers excel spreadsheets excel exchange ms office powerpoint word processing payroll payroll pivot table processes quickbooks quickbooks accounting recruiting reporting sales r3 secretarial spreadsheets staff supervision supervising tax laws tax planning tax tax preparation tax returns treasury valuation annual reports,pursuing certified public accountant cpa boston cpa candidate university mumbai state india mar11 llb law city india law labor laws constitutional law contract act environmental law interpretation statues public international law business law company law intellectual property rights company secretary jun07dec10 courses company law economic laws tax laws cost management accounting information technology systems audit corporate restructuring valuation drafting financial treasury forex management labor law secretarial audit due diligence institute company secretaries india icsi state india 08 bachelors commerce university mumbai state india commerce financial accounting auditing business management economics management accounting cost accounting export business communication business development tax management business law skills accounting accounts payable accounts payable accounts receivable acquisitions adobe approach auditing trial balance balance balance sheet balance sheets bank reconciliation bookkeeping business communication business development business law business management cash management charts closing corporate accounting cost accounting costing certified public accountant cpa client clients customer relations databases dec drafting due diligence economics equity expense reports filing finance financial financial accounting financial reporting financial statements focus forex funds general ledger government information technology intellectual property internal audit interpretation lacerte team leader teambuilding ledger law legal mergers excel spreadsheets excel exchange ms office powerpoint word processing payroll payroll pivot table processes quickbooks quickbooks accounting recruiting reporting sales r3 secretarial spreadsheets staff supervision supervising tax laws tax planning tax tax preparation tax returns treasury valuation annual reports
23734441,accountant accountant,work history 062012 current accountant company city state,completing ms accounting gpa gpa 40 accounting gpa 40 enrolled walden university total credit hours earned 15 30 1 2005 bs business administration university maryland university college gpa gpa 32 business administration gpa 32 1 2004 aa accounting university maryland university college gpa gpa 33 accounting gpa 33 24 hours accounting total credit hours earned semester 60 60
